Subject,Dale-Chall Readability,Color
CS,10.34,#B1D1FC
CS,10.87,#B1D1FC
CS,9.63,#B1D1FC
CS,9.53,#B1D1FC
CS,9.51,#B1D1FC
CS,10.48,#B1D1FC
CS,10.01,#B1D1FC
CS,9.05,#B1D1FC
CS,10.85,#B1D1FC
CS,9.12,#B1D1FC
CS,10.48,#B1D1FC
CS,9.18,#B1D1FC
CS,9.36,#B1D1FC
CS,10.47,#B1D1FC
CS,11.12,#B1D1FC
CS,15.78,#B1D1FC
CS,9.94,#B1D1FC
CS,12.84,#B1D1FC
CS,12.94,#B1D1FC
CS,10.99,#B1D1FC
CS,16.43,#B1D1FC
CS,11.97,#B1D1FC
CS,10.1,#B1D1FC
CS,9.0,#B1D1FC
CS,10.74,#B1D1FC
CS,9.47,#B1D1FC
CS,9.52,#B1D1FC
CS,10.66,#B1D1FC
CS,10.09,#B1D1FC
CS,12.44,#B1D1FC
CS,9.39,#B1D1FC
CS,8.63,#B1D1FC
CS,8.44,#B1D1FC
CS,9.12,#B1D1FC
CS,9.58,#B1D1FC
CS,10.19,#B1D1FC
CS,9.73,#B1D1FC
CS,9.58,#B1D1FC
CS,8.77,#B1D1FC
CS,10.02,#B1D1FC
CS,9.63,#B1D1FC
CS,12.13,#B1D1FC
CS,10.01,#B1D1FC
CS,9.38,#B1D1FC
CS,9.92,#B1D1FC
CS,10.01,#B1D1FC
CS,9.51,#B1D1FC
CS,12.02,#B1D1FC
CS,9.88,#B1D1FC
Geography,9.05,#90E4C1
Geography,11.29,#90E4C1
Geography,11.18,#90E4C1
Geography,9.86,#90E4C1
Geography,8.8,#90E4C1
Geography,8.75,#90E4C1
Geography,11.23,#90E4C1
Geography,8.63,#90E4C1
Geography,10.54,#90E4C1
Geography,13.01,#90E4C1
Geography,10.44,#90E4C1
Geography,9.37,#90E4C1
Geography,8.42,#90E4C1
Geography,10.35,#90E4C1
Geography,10.77,#90E4C1
Geography,11.19,#90E4C1
Geography,10.22,#90E4C1
Geography,9.49,#90E4C1
Geography,10.0,#90E4C1
Geography,11.14,#90E4C1
Geography,10.38,#90E4C1
Geography,9.75,#90E4C1
Geography,10.99,#90E4C1
Geography,8.61,#90E4C1
Geography,11.54,#90E4C1
Geography,8.89,#90E4C1
Geography,8.32,#90E4C1
Geography,10.73,#90E4C1
Geography,9.05,#90E4C1
Geography,10.79,#90E4C1
Geography,9.8,#90E4C1
Geography,12.06,#90E4C1
Geography,10.86,#90E4C1
Geography,8.9,#90E4C1
Geography,9.8,#90E4C1
Geography,10.16,#90E4C1
Geography,7.85,#90E4C1
Geography,9.84,#90E4C1
Geography,9.91,#90E4C1
Geography,9.33,#90E4C1
Geography,9.52,#90E4C1
Geography,9.51,#90E4C1
Geography,9.87,#90E4C1
Geography,8.18,#90E4C1
Geography,9.05,#90E4C1
Geography,9.61,#90E4C1
Geography,9.73,#90E4C1
Geography,10.0,#90E4C1
Geography,10.27,#90E4C1
Drama,11.05,#FFB07C
Drama,8.62,#FFB07C
Drama,9.76,#FFB07C
Drama,9.55,#FFB07C
Drama,10.03,#FFB07C
Drama,9.91,#FFB07C
Drama,8.85,#FFB07C
Drama,7.4,#FFB07C
Drama,11.76,#FFB07C
Drama,9.02,#FFB07C
Drama,8.71,#FFB07C
Drama,9.06,#FFB07C
Drama,8.21,#FFB07C
Drama,11.65,#FFB07C
Drama,10.0,#FFB07C
Drama,10.27,#FFB07C
Drama,11.33,#FFB07C
Drama,11.2,#FFB07C
Drama,9.82,#FFB07C
Drama,9.85,#FFB07C
Drama,14.14,#FFB07C
Drama,8.86,#FFB07C
Drama,9.02,#FFB07C
Drama,8.83,#FFB07C
Drama,9.44,#FFB07C
Drama,9.04,#FFB07C
Drama,8.29,#FFB07C
Drama,8.38,#FFB07C
Drama,8.84,#FFB07C
Drama,8.57,#FFB07C
Drama,8.84,#FFB07C
Drama,9.88,#FFB07C
Drama,10.79,#FFB07C
Drama,9.32,#FFB07C
Drama,9.69,#FFB07C
Drama,11.15,#FFB07C
Drama,8.67,#FFB07C
Drama,9.49,#FFB07C
Drama,8.62,#FFB07C
Drama,9.67,#FFB07C
Drama,9.52,#FFB07C
Drama,9.98,#FFB07C
Drama,12.09,#FFB07C
Drama,9.05,#FFB07C
Drama,10.9,#FFB07C
Drama,9.35,#FFB07C
Drama,9.06,#FFB07C
Drama,9.2,#FFB07C
Drama,8.83,#FFB07C
