Subject,Flesch Reading Ease,Color
CS,6.17,#B1D1FC
CS,41.43,#B1D1FC
CS,46.57,#B1D1FC
CS,34.22,#B1D1FC
CS,38.62,#B1D1FC
CS,27.96,#B1D1FC
CS,47.89,#B1D1FC
CS,49.92,#B1D1FC
CS,34.46,#B1D1FC
CS,44.24,#B1D1FC
CS,29.99,#B1D1FC
CS,28.98,#B1D1FC
CS,55.54,#B1D1FC
CS,38.86,#B1D1FC
CS,16.12,#B1D1FC
CS,-71.66,#B1D1FC
CS,67.08,#B1D1FC
CS,12.09,#B1D1FC
CS,12.67,#B1D1FC
CS,30.4,#B1D1FC
CS,-9.41,#B1D1FC
CS,7.86,#B1D1FC
CS,20.01,#B1D1FC
CS,68.91,#B1D1FC
CS,6.71,#B1D1FC
CS,40.45,#B1D1FC
CS,44.03,#B1D1FC
CS,18.49,#B1D1FC
CS,28.13,#B1D1FC
CS,-10.22,#B1D1FC
CS,51.75,#B1D1FC
CS,43.32,#B1D1FC
CS,63.59,#B1D1FC
CS,41.8,#B1D1FC
CS,57.06,#B1D1FC
CS,40.58,#B1D1FC
CS,40.24,#B1D1FC
CS,51.38,#B1D1FC
CS,44.64,#B1D1FC
CS,16.73,#B1D1FC
CS,44.03,#B1D1FC
CS,7.63,#B1D1FC
CS,35.2,#B1D1FC
CS,46.57,#B1D1FC
CS,31.11,#B1D1FC
CS,32.83,#B1D1FC
CS,46.57,#B1D1FC
CS,7.76,#B1D1FC
CS,54.22,#B1D1FC
Geography,54.52,#90E4C1
Geography,35.91,#90E4C1
Geography,26.54,#90E4C1
Geography,22.45,#90E4C1
Geography,53.71,#90E4C1
Geography,57.4,#90E4C1
Geography,21.26,#90E4C1
Geography,60.41,#90E4C1
Geography,38.86,#90E4C1
Geography,19.54,#90E4C1
Geography,33.48,#90E4C1
Geography,37.23,#90E4C1
Geography,67.89,#90E4C1
Geography,46.78,#90E4C1
Geography,22.45,#90E4C1
Geography,32.22,#90E4C1
Geography,42.92,#90E4C1
Geography,56.45,#90E4C1
Geography,44.64,#90E4C1
Geography,53.41,#90E4C1
Geography,41.8,#90E4C1
Geography,40.99,#90E4C1
Geography,28.2,#90E4C1
Geography,49.21,#90E4C1
Geography,13.88,#90E4C1
Geography,43.53,#90E4C1
Geography,62.78,#90E4C1
Geography,24.21,#90E4C1
Geography,39.06,#90E4C1
Geography,37.71,#90E4C1
Geography,42.31,#90E4C1
Geography,21.4,#90E4C1
Geography,28.88,#90E4C1
Geography,48.13,#90E4C1
Geography,46.17,#90E4C1
Geography,35.98,#90E4C1
Geography,54.42,#90E4C1
Geography,48.3,#90E4C1
Geography,32.43,#90E4C1
Geography,53.0,#90E4C1
Geography,37.3,#90E4C1
Geography,44.34,#90E4C1
Geography,36.25,#90E4C1
Geography,59.23,#90E4C1
Geography,26.61,#90E4C1
Geography,40.28,#90E4C1
Geography,34.05,#90E4C1
Geography,38.66,#90E4C1
Geography,33.14,#90E4C1
Drama,36.79,#FFB07C
Drama,54.83,#FFB07C
Drama,42.92,#FFB07C
Drama,32.36,#FFB07C
Drama,44.54,#FFB07C
Drama,47.01,#FFB07C
Drama,52.6,#FFB07C
Drama,60.21,#FFB07C
Drama,34.36,#FFB07C
Drama,61.56,#FFB07C
Drama,63.59,#FFB07C
Drama,37.54,#FFB07C
Drama,41.09,#FFB07C
Drama,36.12,#FFB07C
Drama,44.88,#FFB07C
Drama,39.06,#FFB07C
Drama,43.66,#FFB07C
Drama,47.28,#FFB07C
Drama,43.66,#FFB07C
Drama,49.65,#FFB07C
Drama,-20.56,#FFB07C
Drama,53.21,#FFB07C
Drama,48.23,#FFB07C
Drama,49.65,#FFB07C
Drama,34.66,#FFB07C
Drama,46.88,#FFB07C
Drama,61.67,#FFB07C
Drama,43.63,#FFB07C
Drama,61.87,#FFB07C
Drama,59.23,#FFB07C
Drama,47.89,#FFB07C
Drama,60.48,#FFB07C
Drama,38.86,#FFB07C
Drama,50.46,#FFB07C
Drama,38.15,#FFB07C
Drama,32.57,#FFB07C
Drama,49.86,#FFB07C
Drama,32.33,#FFB07C
Drama,57.3,#FFB07C
Drama,42.24,#FFB07C
Drama,51.99,#FFB07C
Drama,51.95,#FFB07C
Drama,1.44,#FFB07C
Drama,42.55,#FFB07C
Drama,36.59,#FFB07C
Drama,48.54,#FFB07C
Drama,52.39,#FFB07C
Drama,55.34,#FFB07C
Drama,51.78,#FFB07C
