Word,CS - Geo freq,POS,Word freq,Word count,Male - Female
computer,0.021186457258884076,NOUN,0.009625862695241554,1219,0.028153449296951294
programming,0.012353650639660124,NOUN,0.005535463289060156,701,0.019275695085525513
science,0.011042435827788149,NOUN,0.0056776007201629845,719,0.016661733388900757
systems,0.0058222064864208375,NOUN,0.003087540864511442,391,0.04313771054148674
computing,0.005448670232286785,NOUN,0.002463715472449028,312,-0.0012762583792209625
algorithms,0.0051415244354924205,NOUN,0.002297888469495728,291,0.03171700984239578
technology,0.004072492769095876,NOUN,0.0020057170833399137,254,0.03423560410737991
software,0.0034698017210319705,NOUN,0.0015793047900314282,200,0.030373305082321167
programs,0.0033393406127424996,NOUN,0.0014924430265796996,189,-0.00275266170501709
problems,0.00330043415998963,NOUN,0.0018319935564364567,232,0.03251400589942932
course,0.002973476167213258,NOUN,0.007525387324499755,953,0.016100764274597168
security,0.0026284970425445226,NOUN,0.001231857736224514,156,0.06073746085166931
problem,0.002579239248403718,NOUN,0.0018951657480377139,240,0.04796603322029114
solving,0.002506602265854494,NOUN,0.0017056491732339424,216,0.03126399964094162
computers,0.0023356288014326253,NOUN,0.0010581342093210569,134,0.012962952256202698
design,0.0022995779607212683,NOUN,0.0011134098769721569,141,-0.005107879638671875
networks,0.0020672108555072617,NOUN,0.0009238933021683854,117,0.018490593880414963
system,0.0019462085837114798,NOUN,0.000955479397969014,121,0.03981807082891464
students,0.0019224691643847502,NOUN,0.009325794785135583,1181,-0.019424468278884888
understanding,0.0018944513722467084,NOUN,0.0039877445948293564,505,0.017761602997779846
